Simulation results for 1 VNF: 
SFC Availability greedy 2: 0.909944670921613

SFC availability via MCF: 0.9328414817005777


SFC Availability greedy 1: 0.9192898980363196

SFC Availability greedy 2: 0.8960280500179356

SFC availability via MCF: 0.9192898980363197


SFC Availability greedy 1: 0.9384070672701201

SFC Availability greedy 2: 0.9175574141777233

SFC availability via MCF: 0.9384070672701206


SFC Availability greedy 1: 0.9331890283973173

SFC Availability greedy 2: 0.9079734092047219

SFC availability via MCF: 0.9331890283973173


Simulation results for 37 VNF: 


SFC Availability greedy 1: 0.9166808206413812

SFC Availability greedy 2: 0.8902759032175089

SFC availability via MCF: 0.9166808206413813


SFC Availability greedy 1: 0.9171791457312986

SFC Availability greedy 2: 0.8845841467024895

SFC availability via MCF: 0.9171791457312989


SFC Availability greedy 1: 0.920721721244079

SFC Availability greedy 2: 0.8929831229600119

SFC availability via MCF: 0.920721721244079


SFC Availability greedy 1: 0.9035932805958218

SFC Availability greedy 2: 0.8796858441022035

SFC availability via MCF: 0.903593280595822


SFC Availability greedy 1: 0.9268345002854371

SFC Availability greedy 2: 0.8929166423488203

SFC availability via MCF: 0.9268345002854372


SFC Availability greedy 1: 0.9340975515677687

SFC Availability greedy 2: 0.9102270088416001

SFC availability via MCF: 0.9340975515677689


SFC Availability greedy 1: 0.9234882267919702

SFC Availability greedy 2: 0.8956703446148994

SFC availability via MCF: 0.9234882267919704


SFC Availability greedy 1: 0.9174411528894305

SFC Availability greedy 2: 0.8903412730554533

SFC availability via MCF: 0.9174411528894304


SFC Availability greedy 1: 0.916485151457301

SFC Availability greedy 2: 0.889725536915075

SFC availability via MCF: 0.916485151457301


SFC Availability greedy 1: 0.9214131703082692

SFC Availability greedy 2: 0.8903027033857276

SFC availability via MCF: 0.921413170308269


